"","row","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"109",109,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",12.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"110",110,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",10.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"111",111,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",7.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"112",112,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",2.8,"bare rock","8","36.62183N","121.90516W","","","",2014
"113",113,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",10.1,"bare rock","8","36.62183N","121.90516W","","","",2014
"114",114,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",2.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"115",115,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",11.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"116",116,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",3.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"117",117,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",3,"bare rock","8","36.62183N","121.90516W","","","",2014
"118",118,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",13.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"119",119,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",6.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"120",120,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",6.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"121",121,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",8.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"122",122,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area3",NA,NA,"zoneA_area3",6.4,"bare rock","8","36.62183N","121.90516W","","","",2014
