"","point_estimate","upper_ci","param","quant","sp"
"69",4.79843238889248,20.9129850448093,"beta3",0.5,"CHFU_means"
"70",1.4766155481153,2.97697836362042,"sigma",0.5,"CHFU_means"
"71",1.00026874169288,1.00121733744713,"beta0",0,"LODI"
"72",1.00009963378407,1.00051336556096,"beta1",0,"LODI"
"73",1.00276496353291,1.00929321346063,"beta2",0,"LODI"
"74",1.00303764676057,1.01019644432117,"beta3",0,"LODI"
"75",1.00138697038674,1.00521871035485,"sigma",0,"LODI"
"76",1.00210586378367,1.00743526397628,"beta0",0.05,"LODI"
"77",1.00112616274086,1.00421013338025,"beta1",0.05,"LODI"
"78",1.01520563489484,1.05395043052051,"beta2",0.05,"LODI"
"79",1.0145905507325,1.05185694635841,"beta3",0.05,"LODI"
"80",1.0005493589948,1.00162593670239,"sigma",0.05,"LODI"
"81",1.00221440877684,1.00854528050003,"beta0",0.1,"LODI"
"82",1.00118820891257,1.00449734615416,"beta1",0.1,"LODI"
"83",1.00822138149815,1.02702691683036,"beta2",0.1,"LODI"
"84",1.00929385686858,1.03001631994375,"beta3",0.1,"LODI"
"85",1.00028503770262,1.00122595915083,"sigma",0.1,"LODI"
"86",1.00031686211671,1.00082514717395,"beta0",0.2,"LODI"
"87",1.0001897089285,1.00089728088328,"beta1",0.2,"LODI"
"88",1.00349571815679,1.01306233197187,"beta2",0.2,"LODI"
"89",1.00337833702218,1.01251628680814,"beta3",0.2,"LODI"
"90",1.000138160421,1.00070202611689,"sigma",0.2,"LODI"
"91",1.00033593600756,1.00089718245507,"beta0",0.3,"LODI"
"92",1.00022502560713,1.00081002209071,"beta1",0.3,"LODI"
"93",1.00207391889419,1.00707684505679,"beta2",0.3,"LODI"
"94",1.00127046611318,1.00436842287868,"beta3",0.3,"LODI"
"95",1.00044071244468,1.00129184227259,"sigma",0.3,"LODI"
"96",1.00030887300498,1.00079161929239,"beta0",0.4,"LODI"
"97",1.00018833351082,1.00095155322234,"beta1",0.4,"LODI"
"98",1.00108604261155,1.00280923116545,"beta2",0.4,"LODI"
"99",1.00086123130674,1.00184841950537,"beta3",0.4,"LODI"
"100",0.99992911504024,1.00004512937412,"sigma",0.4,"LODI"
"101",1.00041114296422,1.00104424221438,"beta0",0.5,"LODI"
"102",1.00011090067415,1.00053768074445,"beta1",0.5,"LODI"
"103",1.00109661772991,1.00447641106545,"beta2",0.5,"LODI"
"104",1.00072786908981,1.00306853288196,"beta3",0.5,"LODI"
"105",1.00095880104227,1.00308607650144,"sigma",0.5,"LODI"
"106",1.00410259670484,1.01516409351132,"beta0",0,"LIKE"
"107",1.00304506049608,1.01122129143189,"beta1",0,"LIKE"
"108",1.00317207898463,1.00971976006778,"beta2",0,"LIKE"
"109",1.00469605335902,1.01202783909304,"beta3",0,"LIKE"
"110",1.00031788298429,1.00096673170589,"sigma",0,"LIKE"
"111",1.00032888107779,1.00037338061875,"beta0",0.05,"LIKE"
"112",1.00033214878001,1.00131569596924,"beta1",0.05,"LIKE"
"113",1.0008381297933,1.00249712988274,"beta2",0.05,"LIKE"
"114",1.00032176930068,1.00123418924642,"beta3",0.05,"LIKE"
"115",1.00052985300479,1.00239476582032,"sigma",0.05,"LIKE"
"116",1.00149971857631,1.00290873844895,"beta0",0.1,"LIKE"
"117",1.00028133876765,1.00032968094963,"beta1",0.1,"LIKE"
"118",1.0023993430584,1.00578227058954,"beta2",0.1,"LIKE"
"119",1.00157335850501,1.00431631334714,"beta3",0.1,"LIKE"
"120",1.00042034468894,1.00075091772462,"sigma",0.1,"LIKE"
"121",1.00086827947394,1.00263091655535,"beta0",0.2,"LIKE"
"122",1.00366448525099,1.01352751677485,"beta1",0.2,"LIKE"
"123",1.00044338252713,1.00116635634157,"beta2",0.2,"LIKE"
"124",1.00265670934965,1.00925095454387,"beta3",0.2,"LIKE"
"125",1.00019255347297,1.00070925225646,"sigma",0.2,"LIKE"
"126",1.0033472998876,1.01158727486443,"beta0",0.3,"LIKE"
"127",1.00839872429332,1.02773574193019,"beta1",0.3,"LIKE"
"128",1.00311957984823,1.01078019144153,"beta2",0.3,"LIKE"
"129",1.00020469956484,1.00081850894052,"beta3",0.3,"LIKE"
"130",1.00084575965344,1.00274427364283,"sigma",0.3,"LIKE"
"131",1.00021418668011,1.00083535655744,"beta0",0.4,"LIKE"
"132",1.00025217918599,1.00068729291047,"beta1",0.4,"LIKE"
"133",0.999998832832547,1.00029298411541,"beta2",0.4,"LIKE"
"134",1.0010733115723,1.00341882202607,"beta3",0.4,"LIKE"
"135",1.00030406562735,1.00152348675329,"sigma",0.4,"LIKE"
"136",1.00054442957634,1.00242948826067,"beta0",0.5,"LIKE"
"137",1.00196631589921,1.00715121892369,"beta1",0.5,"LIKE"
"138",1.00005160810408,1.0000847758807,"beta2",0.5,"LIKE"
"139",1.00177592021634,1.00577891827457,"beta3",0.5,"LIKE"
"140",1.00061241371514,1.00192610658654,"sigma",0.5,"LIKE"
