"","study","studySub","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","size1mm_rand","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"73","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"74","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"75","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"76","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"77","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"78","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"79","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"80","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"81","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"82","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"83","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"84","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"85","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"86","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"87","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"88","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"89","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"90","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"91","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"92","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"93","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"94","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"95","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
