Date,Roy2003,Fisher2009,Elahi2015
5/16/16,14.62129498,5.103686333,
6/16/16,15.28478622,9.069274902,
7/16/16,16.1516571,12.49990368,
8/16/16,17.5178566,13.92040253,
9/16/16,17.41934204,12.94239235,
10/16/16,16.99480057,10.89721966,
11/16/16,14.64160538,8.019963264,
12/16/16,13.61021233,5.746459007,
1/16/17,12.48042679,3.973362446,
2/15/17,12.53371811,2.836956978,
3/16/17,12.46889114,2.343957901,
4/16/17,13.44196129,3.102892399,
5/16/17,13.72886562,5.281686783,
6/16/17,15.39385223,8.987649918,
7/16/17,16.96139145,12.79862976,
8/16/17,18.12478638,14.23040295,
9/16/17,18.89041519,13.49814224,
10/16/17,17.5983696,10.44434452,
11/16/17,17.33355141,7.584337711,
12/16/17,15.11394501,4.622959137,
1/16/18,14.75152206,3.498987675,
2/15/18,13.87471962,2.503582001,
3/16/18,14.00889587,2.102833033,
4/16/18,13.67582893,3.313287735,
5/16/18,14.26729488,6.279437065,
6/16/18,15.92778587,9.808774948,
7/16/18,17.90388107,13.31152916,
8/16/18,19.33639526,14.19052887,
9/16/18,19.16234207,13.03776741,
10/16/18,19.11046219,10.53296947,
11/16/18,17.11560631,7.916838169,
12/16/18,15.41885376,5.290083885,
1/16/19,15.04642773,3.930362463,
2/15/19,14.27471924,3.050457001,
3/16/19,14.22689629,2.767958164,
4/16/19,14.68782806,3.794037819,
5/16/19,15.65929508,6.118936539,
6/16/19,16.50878716,9.590274811,
7/16/19,16.56665802,12.85915375,
8/16/19,18.37085342,13.77990341,
9/16/19,18.42134094,12.81776714,
10/16/19,17.44680023,10.16596985,
11/16/19,15.41360474,7.274338245,
12/16/19,14.7008543,4.847458839,
1/16/20,14.4484272,3.317612648,
2/15/20,14.19471931,2.440785408,
3/16/20,14.30989647,2.399583101,
4/16/20,14.56582832,3.290662766,
5/16/20,14.9352951,5.953811646,
6/16/20,16.36578751,9.46277523,
7/16/20,18.16265488,12.83265305,
8/16/20,17.92785645,14.85900593,
9/16/20,18.55634117,13.54989243,
10/16/20,18.38579941,11.4543457,
11/16/20,16.64160538,8.473088264,
12/16/20,14.8078537,5.662988663,
1/16/21,13.65242767,4.189762115,
2/15/21,13.34771919,3.038023949,
3/16/21,12.43089676,3.279792786,
4/16/21,13.86682892,4.580850601,
5/16/21,14.87829494,6.588811874,
6/16/21,15.61035538,11.26224136,
7/16/21,17.52165604,15.61212158,
8/16/21,17.90245056,15.38168049,
9/16/21,18.52134132,14.48744392,
10/16/21,17.53480148,11.37746906,
11/16/21,16.56398964,7.990507126,
12/16/21,14.98722076,5.355969906,
1/16/22,14.15442753,3.530432224,
2/15/22,13.70271873,2.931341887,
3/16/22,13.61789703,2.945549965,
4/16/22,13.84782791,3.331488371,
5/16/22,14.28829479,5.896436691,
6/16/22,15.37947845,10.62450409,
7/16/22,17.2196579,14.44109058,
8/16/22,18.76699448,15.04685211,
9/16/22,18.55234146,13.16601658,
10/16/22,17.81279945,11.0603447,
11/16/22,15.52660561,7.464735031,
12/16/22,14.38585377,4.824802876,
1/16/23,13.70942783,3.445853233,
2/15/23,13.53171921,1.819396973,
3/16/23,14.10989571,1.301026821,
4/16/23,14.89082909,2.594521523,
5/16/23,15.13529491,5.267311573,
6/16/23,14.66778755,10.31937218,
7/16/23,16.77340698,13.96741104,
8/16/23,18.10515976,13.62187767,
9/16/23,18.19242287,12.50133228,
10/16/23,17.7928009,10.14003277,
11/16/23,17.06928062,7.570000648,
12/16/23,15.2287159,6.266294956,
1/16/24,13.84847927,4.458859921,
2/15/24,14.59371948,2.393259525,
3/16/24,13.78489685,2.233625889,
4/16/24,14.17734718,2.975842476,
5/16/24,14.53729439,6.018718243,
6/16/24,15.14878654,9.405761719,
7/16/24,16.7919426,13.48090935,
8/16/24,16.81066513,14.20323372,
9/16/24,17.91934204,12.0398922,
10/16/24,16.85515594,10.41905022,
