"","row","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"102",102,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",15,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"103",103,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",16,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"104",104,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone3",NA,NA,NA,"3x2ft_rect",17.8,NA,4.5,"36.62192N","121.90527W",NA,"","",1950
"105",105,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",10.8,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"106",106,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",11.5,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"107",107,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",11.7,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"108",108,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",11.8,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"109",109,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",12,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"110",110,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",12.1,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"111",111,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",12.4,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
"112",112,"Lottia.digitalis","LODI","areaB","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",12.5,NA,7.5,"36.62188N","121.90514W",NA,"","",1950
