"","size1mm","year","breeding","population","province","figure"
"205",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"206",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"207",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"208",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"209",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"210",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"211",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"212",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"213",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"214",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"215",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"216",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"217",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"218",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"219",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"220",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"221",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"222",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"223",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"224",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"225",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"226",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"227",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"228",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"229",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"230",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"231",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"232",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"233",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"234",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"235",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"236",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"237",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"238",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"239",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"240",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"241",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"242",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"243",32,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"244",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"245",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"246",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"247",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"248",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"249",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"250",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"251",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"252",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"253",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"254",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"255",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"256",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"257",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"258",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"259",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"260",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"261",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"262",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"263",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"264",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"265",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"266",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"267",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"268",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"269",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"270",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"271",33,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"272",34,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"273",34,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"274",34,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"275",34,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"276",34,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"277",34,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"278",34,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
