"","study","studySub","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","size1mm_rand","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"137","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"138","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"139","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"140","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"141","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"142","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"143","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"144","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"145","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"146","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"147","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"148","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,19,19,NA,NA,44.2553654,-68.36960568,NA,"","",1918
